Symbol,Type,Price,Return
ALCO,Stock,31.4,0.07718696397941671
ALDR,Stock,14.575,0.04480286738351258
ALDX,Stock,7.075,-0.007017543859649145
ALGT,Stock,147.9,-0.11037593984962402
ALIM,Stock,1.11,0.06730769230769229
ALL,Stock,97.8,0.012632014909919276
ALLE,Stock,85.48,0.00600211839472764
ALLT,Stock,5.31,-0.01666666666666683
ALNA,Stock,13.855,0.0
ALNY,Stock,97.89,-0.00498068713153077
ALOT,Stock,18.0,0.0942249240121582
ALRM,Stock,40.5,0.034350657642701954
ALSK,Stock,1.51,-0.10650887573964496
ALTR,Stock,29.525,-0.018777002326354264
ALXN,Stock,110.465,-0.01813252744322469
AMAG,Stock,21.375,0.033857315598548876
AMAT,Stock,57.035,0.028584310189359696
AMBC,Stock,17.9,0.02110667427267532
AMBCW,Stock,8.55,0.0
AMCX,Stock,52.19,0.00782079752824183
AMDA,Stock,1.46,0.0
AME,Stock,75.63,0.018311565908172955
AMED,Stock,66.45,0.037794783695142886
AMEH,Stock,14.21,0.0
AMGN,Stock,172.745,-0.0026270207852192584
AMKR,Stock,10.24,0.03382130237253911
AMNB,Stock,38.75,0.0
AMOT,Stock,41.535,0.040977443609022446
AMP,Stock,144.99,0.0251352211263125
AMR,Stock,7.28,-0.010869565217391353
AMRN,Stock,3.065,-0.011290322580645218
AMRS,Stock,6.41,-0.07636887608069165
AMSC,Stock,6.3,0.034482758620689724
AMSF,Stock,55.475,0.03643157403082675
AMSWA,Stock,13.17,-0.0015163002274449777
AMT,Stock,139.41,-0.007334092851039586
AMTD,Stock,60.79,0.02133736559139776
AMTX,Stock,1.69,0.0
AMWD,Stock,97.0,0.030270844397238372
AMZN,Stock,1444.33,0.002436112769117482
AN,Stock,47.02,0.002986348122866911
ANAB,Stock,88.775,-0.028613633876791722
ANAT,Stock,122.5,0.020663222796200698
ANDE,Stock,33.15,0.031104199066874116
ANGI,Stock,13.55,0.002218934911242698
ANGO,Stock,20.33,0.03329097839898343
ANIK,Stock,46.65,-0.0038436899423446302
ANIP,Stock,59.895,0.0028463792381749897
ANSS,Stock,159.21,0.00365630712979903
ANTM,Stock,226.31,0.02767749699157651
ANY,Stock,0.53,0.0
AOBC,Stock,10.78,0.0375360923965351
AON,Stock,144.54,0.03375768845658711
AOSL,Stock,15.75,0.010262989095574104
APA,Stock,40.68,0.026236125126135157
APC,Stock,63.54,0.0063351282863477465
APD,Stock,165.0,0.022241496809367378
APDN,Stock,1.42,-0.0273972602739726
APEI,Stock,43.1,0.020118343195266286
APH,Stock,86.61,0.011976397733247657
APLP,Stock,13.965,0.017857142857142794
APLS,Stock,29.93,0.150490101864309
APOG,Stock,41.86,-0.007351197533791876
APOP,Stock,7.11,0.0
APPF,Stock,44.85,0.03103448275862064
APPN,Stock,26.31,-0.05206269140695374
APPS,Stock,1.695,-0.08130081300813008
APRI,Stock,0.2911,-0.2518632742225648
APTI,Stock,30.095,0.024161987408541696
APTO,Stock,3.52,0.0
APVO,Stock,4.25,0.1333333333333333
AQB,Stock,3.17,-0.04947526236881561
AQMS,Stock,2.26,-0.025862068965517238
ARAY,Stock,4.875,0.031746031746031855
ARCB,Stock,34.075,0.043644716692190055
ARCT,Stock,5.46,0.0
ARDX,Stock,5.15,-0.004830917874396046
AREX,Stock,2.75,-0.010791366906474753
ARGX,Stock,85.52,0.06666666666666665
ARII,Stock,37.17,0.018635242532200502
ARKK,ETF,40.48,-0.004671748217359384
ARLP,Stock,16.6,-0.02639296187683282
ARLZ,Stock,1.435,0.05904059040590415
ARMO,Stock,29.19,-0.03822075782537071
ARNA,Stock,34.68,-0.04092920353982288
ARQL,Stock,2.62,-0.05585585585585584
ARRS,Stock,27.26,-0.002196193265007307
ARRY,Stock,15.12,0.020242914979756943
ARTX,Stock,3.325,0.01526717557251911
ARWR,Stock,6.9,-0.039665970772442494
ASCMA,Stock,4.0,0.062416998671978696
ASMB,Stock,45.23,-0.09058007439428983
ASNA,Stock,2.305,0.013186813186813362
ASND,Stock,62.22,-0.00923566878980886
ASNS,Stock,18.0,0.0
ASPS,Stock,25.62,-0.015751056473299996
ASTC,Stock,2.43,-0.010183299389001976
ASTE,Stock,56.98,0.0
ASUR,Stock,13.87,-0.0028756290438534116
ASYS,Stock,7.71,-0.007722007722007707
ATEC,Stock,3.56,0.03488372093023262
ATHN,Stock,145.27,0.016940847042352214
ATHX,Stock,1.92,0.0
ATNI,Stock,64.75,0.02517416086130475
ATNX,Stock,17.3,-0.029997196523689373
ATOS,Stock,0.3775,0.0
ATRC,Stock,21.14,0.05305105853051062
ATRI,Stock,603.2,-0.007894736842105177
ATRO,Stock,37.755,0.03608671789242601
ATRS,Stock,2.365,0.06292134831460672
ATSG,Stock,22.35,0.014986376021798531
ATTU,Stock,7.63,0.0
ATVI,Stock,66.47,0.0
AUDC,Stock,7.21,0.0
AUPH,Stock,5.45,0.010194624652456019
AUTO,Stock,3.57,0.11912225705329149
AVAV,Stock,57.29,0.05467599410898383
AVB,Stock,166.85,-0.002749387364772038
AVEO,Stock,2.835,0.10097087378640768
AVHI,Stock,19.5,0.0
AVID,Stock,4.58,-0.01716738197424894
AVXL,Stock,2.2,-0.03083700440528625
AVXS,Stock,211.22,-0.0035147312056236224
AVY,Stock,106.185,0.003733812269590686
AXAS,Stock,2.705,0.024621212121212155
AXDX,Stock,24.35,0.014583333333333393
AXGN,Stock,38.4,0.0026109660574413773
AXON,Stock,1.155,-0.11494252873563215
AXP,Stock,94.12,0.022876704885073096
AXSM,Stock,2.5,0.0
AXTI,Stock,6.65,-0.09830508474576272
AY,Stock,19.725,-0.010782347041123352
AYTU,Stock,0.5213,-0.1012068965517241
AZO,Stock,605.815,-0.019819921852879507
AZPN,Stock,85.35,0.029305354558610608
BA,Stock,332.22,0.0010847947929850665
BABY,Stock,35.3,0.03671071953010285
BAC,Stock,30.135,0.0016619577862722057
BAND,Stock,31.35,-0.019086357947434296
BANF,Stock,54.25,-0.0027573529411764053
BANR,Stock,55.61,0.003428365211115114
BATRK,Stock,23.38,0.04608501118568231
BAX,Stock,66.57,0.019448698315466917
BBBY,Stock,17.6,-0.17910447761194026
BBOX,Stock,1.9,-0.06172839506172845
BBRG,Stock,4.0,0.0062893081761006275
BBSI,Stock,86.73,0.01379310344827589
BBT,Stock,52.355,-0.001620900076277687
BBY,Stock,72.19,0.012695517991162308
BCOR,Stock,25.25,0.04231166150670784
BCOV,Stock,7.025,-0.03767123287671226
BCPC,Stock,87.48,0.022559906487434223
BCR,Stock,331.77,0.0
BCRX,Stock,5.025,0.008024072216650024
BCTF,Stock,16.32,0.0
BDGE,Stock,32.9,-0.0015174506828529166
BDX,Stock,230.72,0.03825038250382495
BEAT,Stock,34.625,0.058868501529051986
BECN,Stock,52.4,0.03332676000788792
BEN,Stock,33.935,0.03887953467013627
BGCP,Stock,13.4,-0.0037174721189590088
BGFV,Stock,7.975,0.03571428571428559
BGNE,Stock,167.98,-0.04230330672748017
BHBK,Stock,20.9,0.0
BHF,Stock,50.74,0.013786213786213919
BIDU,Stock,230.22,-0.006366127883640105
BIIB,Stock,264.48,-0.013723150357995206
BIOS,Stock,2.61,-0.016949152542372836
BJRI,Stock,49.375,0.06814494321254738
BK,Stock,52.21,0.021922098257975975
BKEP,Stock,4.575,0.0
BKEPP,Stock,6.93,0.0
BKNG,Stock,2115.88,0.010026851244107737
BKSC,Stock,20.25,0.03846153846153855
BKYI,Stock,2.11,0.0
BL,Stock,40.47,0.025595539787126143
BLBD,Stock,24.425,0.024109014675052443
BLCM,Stock,8.91,0.2783357245337159
BLCN,Stock,22.6,0.0
BLDP,Stock,3.55,0.03197674418604657
BLDR,Stock,19.77,0.024352331606217525
BLFS,Stock,7.1,0.01938262742282837
BLKB,Stock,106.85,0.007258672699849145
BLL,Stock,40.78,0.007659995058067803
BLNK,Stock,2.15,-0.004629629629629761
BLRX,Stock,0.8511,-0.021948977246609935
BLUE,Stock,171.65,-0.032685263454494184
BLX,Stock,28.71,-0.002085505735140769
BMCH,Stock,18.625,-0.041184041184041176
BMRN,Stock,82.37,0.028981886321049366
BMTC,Stock,44.65,0.009039548022598876
BMY,Stock,53.3,-0.11864406779661019
BNCL,Stock,15.625,0.0032102728731941976
BNDX,Stock,54.635,-0.00036593175372801046
BNFT,Stock,27.2,0.07509881422924902
BOFI,Stock,41.15,0.0015820859194353165
BOJA,Stock,14.25,0.021505376344086002
BOKF,Stock,102.73,0.01316632970067566
BOLD,Stock,38.915,0.06660271344388113
BOMN,Stock,23.425,0.0010683760683760646
BOOM,Stock,28.95,0.03949730700179521
BOTZ,ETF,23.855,0.0008391021606879434
BPFH,Stock,15.675,0.022838499184339334
BPMC,Stock,88.53,-0.09148750577248699
BPOP,Stock,44.05,0.013808975834292081
BPTH,Stock,1.645,-0.09615384615384615
BPY,Stock,19.0,0.0058231868713605195
BREW,Stock,20.0,0.007556675062972307
BRKL,Stock,16.375,0.009244992295839749
BRKR,Stock,30.41,0.023905723905723875
BRKS,Stock,27.73,0.02023546725533487
BSET,Stock,29.4,0.0
BSF,Stock,10.31,0.0
BSRR,Stock,27.38,0.0
BSTC,Stock,44.5,-0.008798307161153818
BTAI,Stock,9.04,-0.05439330543933063
BTC,Crypto,8063.2,0.16114000008640295
BUFF,Stock,39.975,0.0005005631335253113
BURG,Stock,3.425,0.0
BUSE,Stock,30.6,0.017964071856287456
BWA,Stock,53.98,0.012378094523630923
BWB,Stock,13.48,0.0
BWEN,Stock,2.93,-0.02980132450331119
BWFG,Stock,31.72,0.0
BZUN,Stock,46.2,-0.05704663741198068
C,Stock,70.665,0.004906143344710179
CA,Stock,35.01,0.01024383205886581
CAAS,Stock,4.27,0.0
CAC,Stock,44.1,-0.006868595878842476
CAFD,Stock,12.0,-0.007854485324514271
CAG,Stock,37.305,0.010564811052417689
CAH,Stock,64.12,-0.0061996280223185485
CALA,Stock,6.175,0.04219409282700415
CALI,Stock,2.61,-0.11224489795918369
CALL,Stock,8.425,0.0
CALM,Stock,48.7,0.040598290598290676
CAMP,Stock,23.19,0.019788918205804862
CAMT,Stock,7.42,0.008152173913043459
CAPR,Stock,1.595,0.0
CAR,Stock,49.67,0.023490624356068412
CARA,Stock,12.36,-0.011200000000000099
CARB,Stock,29.85,0.01790281329923271
CARG,Stock,32.99,-0.05472779369627501
CARO,Stock,39.445,-0.007922535211267512
CASA,Stock,30.58,0.019333333333333202
CASH,Stock,112.1,-0.002669039145907548
CASI,Stock,6.77,0.03279938977879482
CASS,Stock,58.75,0.0
CAT,Stock,152.84,0.03438007579859237
CATC,Stock,86.565,0.016856572301186423
CATY,Stock,39.8,0.0028978203351390786
CAVM,Stock,80.88,-0.014439773350393037
CB,Stock,136.505,0.017517051172151632
CBAY,Stock,13.19,-0.034407027818448066
CBG,Stock,47.325,0.0
CBIO,Stock,25.185,0.03111566018423728
CBOE,Stock,109.355,0.0015111273926184943
CBPO,Stock,86.55,-0.004142216085605832
CBRL,Stock,164.42,0.003907681035535404
CBS,Stock,51.03,-0.0035149384885764245
CBSH,Stock,63.525,0.0676470588235294
CCD,Stock,19.93,-0.003998000999500317
CCE,Stock,41.74,0.016561130053580175
CCI,Stock,104.5,-0.007314524555903867
CCL,Stock,64.15,-0.003572538055296559
CCLP,Stock,7.55,0.04281767955801108
CCMP,Stock,111.945,0.029947557272978154
CCRN,Stock,11.63,0.027839151568714193
CCUR,Stock,4.86,0.0
CCXI,Stock,10.92,-0.10418375717801476
CDEV,Stock,17.29,-0.0031709426347650282
CDK,Stock,65.09,0.007429190527782126
CDLX,Stock,14.34,-0.01848049281314168
CDMO,Stock,3.34,0.027692307692307683
CDNA,Stock,8.96,0.02166476624857494
CDNS,Stock,37.405,0.014785675529028763
CDTI,Stock,0.7351,0.0
CDTX,Stock,3.725,-0.06874999999999998
CDXC,Stock,4.32,-0.006896551724137834
CDXS,Stock,11.15,0.013636363636363669
CDZI,Stock,13.6,0.0
CECE,Stock,4.65,0.008676789587852562
CECO,Stock,12.88,-0.009230769230769154
CELG,Stock,90.96,0.01847497480685245
CENTA,Stock,38.85,0.005304696597231207
CENX,Stock,18.29,-0.03431890179514263
CERS,Stock,5.37,-0.023636363636363567
CETX,Stock,2.86,0.04761904761904767
CF,Stock,38.55,0.029784960598370436
CFFI,Stock,52.95,-0.012126865671641784
CFFN,Stock,12.73,0.019215372297838318
CFMS,Stock,1.54,0.06944444444444442
CFO,Stock,49.38,0.0
CG,Stock,20.225,-0.019393939393939297
CGBD,Stock,17.73,0.0031117397454030193
CGEN,Stock,4.375,-0.03314917127071826
CGIX,Stock,1.53,0.0
CGNT,Stock,3.85,0.003911342894393766
CGNX,Stock,50.795,0.008237395791981017
CHCI,Stock,1.805,0.0
CHCO,Stock,70.39,-0.007333239317444562
CHDN,Stock,241.675,0.02622080679405525
CHEF,Stock,24.05,0.0
CHEK,Stock,4.17,0.0
CHFC,Stock,55.19,0.009511615145417984
CHFN,Stock,21.62,0.0
CHFS,Stock,3.11,0.0
CHI,Stock,11.3,-0.0026478375992938785
CHK,Stock,3.25,0.030110935023771823
CHKP,Stock,103.5,0.0134142759228435
CHRS,Stock,12.6,0.05219206680584554
CHRW,Stock,97.79,0.03855140186915906
CHTR,Stock,314.34,0.031163889253378763
CHUBA,Stock,22.55,0.0
CHUBK,Stock,22.54,0.00044385264092317023
CHUY,Stock,27.65,0.0
CHW,Stock,9.12,-0.010845986984815759
CHY,Stock,11.89,-0.0075125208681134925
CI,Stock,175.39,0.03781065088757396
CIBR,Stock,26.03,0.015012673035679436
CIFS,Stock,17.39,0.0
CINF,Stock,74.98,0.020344287949921824
CIVB,Stock,23.065,-0.007956989247311808
CL,Stock,72.33,0.011113440972950306
CLAR,Stock,6.825,0.0
CLCT,Stock,16.825,0.009298140371925445
CLDC,Stock,2.32,0.0
CLDX,Stock,0.84,-0.6083916083916083
CLFD,Stock,13.35,0.007547169811320753
CLIR,Stock,1.9,-0.050000000000000044
CLLS,Stock,30.74,0.004575163398692794
CLMT,Stock,7.3,0.017421602787456525
CLNE,Stock,1.675,0.024464831804281273
CLRB,Stock,1.26,0.0
CLRG,Stock,25.525,0.0
CLSD,Stock,10.41,-0.016997167138810165
CLSN,Stock,2.22,-0.04310344827586188
CLVS,Stock,54.81,-0.14559625876851134
CLX,Stock,127.045,0.0035150078988941402
CMA,Stock,96.36,-0.006188118811881083
CMCO,Stock,36.405,0.03526233470780604
CMCSA,Stock,33.7,-0.006925003683512565
CME,Stock,165.16,0.019946890631754366
CMG,Stock,327.66,0.0019264287680031966
CMI,Stock,166.77,0.04387831747621451
CMPR,Stock,151.12,-0.017233530597645874
CMRX,Stock,5.0,-0.013806706114398493
CMS,Stock,44.81,0.006174918603345736
CMTA,Stock,16.26,0.004944375772558907
CMTL,Stock,31.81,0.03903315368283522
CNAT,Stock,3.705,-0.08064516129032262
CNCE,Stock,19.75,0.024643320363164856
CNIT,Stock,1.71,-0.04469273743016766
CNMD,Stock,62.565,0.01583049196298081
CNOB,Stock,28.65,-0.004344048653344923
CNSL,Stock,11.095,-0.055744680851063766
CNTY,Stock,8.06,0.03465982028241332
CNX,Stock,15.87,0.005703422053231932
CNXN,Stock,26.87,0.004485981308411269
COBZ,Stock,19.66,0.005112474437627856
COCP,Stock,4.35,0.0
COF,Stock,97.58,0.016352463285074448
COG,Stock,24.02,0.017365523083439305
COGT,Stock,2.525,0.0
COH,Stock,39.9,0.0
COHR,Stock,176.4,-0.003389830508474523
COKE,Stock,169.35,-0.029262560545699534
COL,Stock,134.31,0.003661635032132793
COLB,Stock,43.475,0.0038097437081505703
COLL,Stock,23.14,0.00915830789358929
COLM,Stock,79.73,-0.030402529490453634
CONE,Stock,49.63,-0.012141719745222934
CONN,Stock,28.35,0.023465703971119245
COOL,Stock,16.39,-0.12446581196581186
COP,Stock,65.685,0.04744059958539304
CORE,Stock,21.5,-0.011039558417663242
CORI,Stock,10.48,-0.04117108874656905
COST,Stock,195.695,0.05116291561476083
COUP,Stock,47.36,0.03406113537117905
COWN,Stock,14.75,0.01899827288428324
CPAH,Stock,2.91,0.0
CPB,Stock,42.84,-0.004646840148698761
CPLA,Stock,92.6,0.028888888888888742
CPLP,Stock,3.255,0.020376175548589393
CPRT,Stock,50.495,-0.0012856012658228888
CPSI,Stock,29.3,-0.0017035775127768327
CPTA,Stock,7.94,0.008894536213468918
CRAI,Stock,55.945,0.015335753176043632
CRAY,Stock,22.575,0.023809523809523725
CREE,Stock,40.79,-0.004393458628264568
CREG,Stock,1.58,0.0
CRESY,Stock,21.39,-0.017906336088154284
CRIS,Stock,0.6188,0.007981755986317118
CRM,Stock,119.66,-0.00606362654705539
CRNT,Stock,2.69,-0.011029411764705954
CRON,Stock,7.77,0.20839813374805605
CROX,Stock,15.95,-0.05397390272835112
CRSP,Stock,52.88,0.019471756313861777
CRTO,Stock,28.05,0.007543103448275801
CRUS,Stock,39.82,0.030005173305742483
CRVL,Stock,49.9,-0.029182879377431914
CRVS,Stock,10.99,-0.01787310098302053
CRZO,Stock,17.175,-0.012931034482758452
CSA,Stock,45.84,0.0048224462954846725
CSBR,Stock,3.755,0.0
CSCO,Stock,43.515,0.018728783799601967
CSGP,Stock,365.69,0.007493732264374442
CSGS,Stock,45.99,0.012995594713656411
CSII,Stock,22.85,-0.021832191780821852
CSJ,Stock,103.725,-0.0008188035834698626
CSOD,Stock,42.83,0.039310846881824846
CSQ,Stock,11.91,-0.002512562814070307
CSSE,Stock,7.035,0.0
CSTE,Stock,19.7,-0.021118012422360333
CSTR,Stock,17.39,0.0
CSWI,Stock,45.15,0.0033333333333334103
CTAS,Stock,172.83,0.014082027812005071
CTBI,Stock,46.2,0.015384615384615552
CTG,Stock,8.425,0.002379535990481907
CTIC,Stock,3.87,0.0078125
CTL,Stock,17.365,-0.011386279533162735
CTMX,Stock,27.485,-0.06893631436314362
CTRE,Stock,13.42,0.004491017964071808
CTRL,Stock,21.55,-0.008055235903337232
CTRN,Stock,31.685,-0.00891460744447925
CTRP,Stock,42.78,-0.06624467969005776
CTRV,Stock,0.287,0.0
CTSH,Stock,81.88,0.02209461989764061
CTWS,Stock,63.7,0.015139442231075773
CTXS,Stock,96.13,0.02391223305107304
CUR,Stock,1.795,0.0
CUTR,Stock,54.8,0.05893719806763276
CVBF,Stock,22.66,0.008904719501335645
CVGI,Stock,7.575,0.04554865424430643
CVGW,Stock,97.2,0.04488040849234065
CVTI,Stock,30.34,0.018462571332662048
CVX,Stock,121.05,0.01739788199697423
CWBR,Stock,4.9,0.022964509394572064
CWCO,Stock,13.9,0.03731343283582089
CWST,Stock,24.57,0.010903106356716652
CY,Stock,17.28,0.013489736070381175
CYAN,Stock,4.225,0.0
CYBR,Stock,52.32,0.010721529991306822
CYCC,Stock,1.55,0.0
CYOU,Stock,30.03,-0.001994017946161497
CYRN,Stock,3.05,0.27083333333333326
CYTK,Stock,7.675,0.030201342281879207
CYTR,Stock,1.77,-0.005617977528089901
CZR,Stock,11.375,0.036446469248291535
D,Stock,64.265,-0.014340490797546068
DAIO,Stock,7.84,0.0
DAKT,Stock,9.2,0.007667031763417098
DAVE,Stock,7.175,0.0
DBVT,Stock,23.96,-0.011755001031140466
DCOM,Stock,18.8,0.006693440428380271
DCPH,Stock,24.65,-0.10085719496625933
DD,Stock,84.75,0.0
DE,Stock,150.5,0.0353248718742476
DENN,Stock,16.71,0.03595784252944845
DEPO,Stock,6.99,0.050338091660405704
DERM,Stock,8.35,0.04636591478696728
DFFN,Stock,0.6097,0.0
DFRG,Stock,16.05,0.027200000000000113
DFS,Stock,72.02,0.00840100812097444
DG,Stock,96.835,0.005973405360481854
DGAZ,ETF,27.08,0.0
DGICA,Stock,15.43,0.0
DGII,Stock,10.75,0.0
DGLY,Stock,2.65,0.15217391304347827
DGRW,Stock,40.98,0.008862629246676468
DGX,Stock,101.795,0.025745667069730027
DHI,Stock,44.99,0.00044474093840340956
DHR,Stock,100.7,0.017274472168905985
DHXM,Stock,2.975,0.0
DIOD,Stock,30.615,-0.010184287099903044
DIS,Stock,100.58,-0.00720560655414082
DISCA,Stock,23.42,0.04227859368046305
DISCK,Stock,21.45,0.04583130180399797
DISH,Stock,39.2,-0.003051881993896166
DLPH,Stock,49.85,0.014861563517915455
DLTH,Stock,18.93,-0.029230769230769282
DLTR,Stock,97.42,-0.008851358225658856
DMLP,Stock,17.45,0.0
DMRC,Stock,26.45,0.009541984732824416
DNB,Stock,116.68,0.006643085152273409
DNKN,Stock,60.72,0.0008241305422778122
DNLI,Stock,18.96,-0.027193432529502237
DO,Stock,18.83,0.054606552786334195
DORM,Stock,69.26,0.005662843037607113
DOV,Stock,94.54,0.004302331757582101
DOW,Stock,66.1,0.0
DOX,Stock,66.73,0.003609565348172694
DPS,Stock,120.99,0.0046500041517894
DRAD,Stock,1.4,0.07692307692307687
DRI,Stock,88.99,0.02747950583073533
DRIO,Stock,1.74,0.0
DRNA,Stock,10.5,-0.021891010712622228
DRRX,Stock,2.49,-0.011904761904761862
DRYS,Stock,3.795,-0.020645161290322567
DSKE,Stock,9.145,0.021217197096593976
DSKEW,Stock,0.95,0.0
DTE,Stock,103.02,-0.004012181563300632
DUK,Stock,77.62,0.0067444876783400165
DVA,Stock,63.23,-0.00015812776723600486
DVAX,Stock,19.9,-0.008717310087173136
DVN,Stock,33.415,-0.016048292108362783
DVY,Stock,96.66,0.009135042021193307
DWAS,Stock,50.02,0.004821213338690233
DWCH,Stock,8.9,0.02005730659025806
DWLD,Stock,26.14,0.0
DWSN,Stock,6.4,0.01587301587301604
DWT,ETF,9.29,0.020879120879120805
DXLG,Stock,1.8,0.014084507042253502
DXPE,Stock,37.03,0.012855579868708888
EA,Stock,122.4,0.019745063734066592
EBAYL,Stock,25.88,-0.01032504780114718
EBIO,Stock,1.445,-0.05555555555555558
EBIX,Stock,78.6,0.03285151116951379
ECHO,Stock,30.1,0.06360424028268552
ECL,Stock,145.97,0.03996865203761746
ECPG,Stock,44.9,0.014116318464144628
ECYT,Stock,9.08,-0.026795284030010746
ED,Stock,77.52,-0.0011596443757247998
EDAP,Stock,2.35,0.0
EDGW,Stock,5.51,0.05758157389635321
EEFT,Stock,75.995,0.014754973961810691
EEI,Stock,11.6,0.0
EFII,Stock,28.27,0.00802282046710645
EFOI,Stock,2.39,-0.04780876494023889
EFX,Stock,117.18,-0.00846166864105602
EGLE,Stock,5.07,0.014000000000000012
EGLT,Stock,0.6392,-0.005600497822028649
EGOV,Stock,14.325,0.01058201058201047
EGRX,Stock,54.16,0.01195814648729443
EHTH,Stock,15.62,0.014944769330734076
EIGI,Stock,7.4,0.003389830508474523
EIGR,Stock,11.15,0.0
EIX,Stock,64.305,0.02022846263683964
EKSO,Stock,1.625,0.06209150326797386
EL,Stock,151.24,-0.010403716547798258
ELGX,Stock,4.12,-0.023696682464454888
EMB,Stock,112.14,-0.0014247551202136721
EMCI,Stock,26.68,0.0
EMKR,Stock,4.775,-0.030456852791878042
EMN,Stock,106.7,0.015803503427265664
EMR,Stock,68.95,0.01846381093057614
ENDP,Stock,5.54,-0.04069264069264078
ENFC,Stock,28.6,0.010600706713780994
ENG,Stock,0.838,0.0
ENPH,Stock,4.11,0.040506329113924044
ENSG,Stock,27.73,0.016868353502016875
ENTA,Stock,85.7,0.025855877423988538
ENTG,Stock,37.025,0.027758501040943795
EOG,Stock,111.14,0.01405109489051104
EOLS,Stock,9.35,0.032008830022074886
EPAY,Stock,39.99,0.023285568065506856
EPZM,Stock,16.15,0.05555555555555536
EQBK,Stock,40.4,0.022784810126582178
EQR,Stock,61.92,-0.017454776261504268
EQT,Stock,49.38,0.011056511056511065
ERI,Stock,41.95,0.20719424460431668
